,rsmi,psmi,ea,dh,Hf_r,Hf_p,Hf_ts,AE_mopac,DH_mopac,AE_no_zpe,ER_no_zpe,RXN_no_zpe,ae_diff,dh_diff
27,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C@:2]12([H:8])[C:3]([H:9])([H:10])[C@@:4]1([H:11])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16].[O:1]([H:7])[H:12],99.0624826729196,35.1227439255497,-65.05184,-22.94764,21.07122,86.12306,42.1042,105.2,66.58,38.62,19.076940000000008,-3.4842000000000013
28,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:3](=[C:4]([H:11])[H:12])([H:9])[H:10].[O:1](/[C:2](=[C:6](\[C:5]([H:13])([H:14])[H:15])[H:16])[H:8])[H:7],113.901389527985,32.6716082617026,-65.05184,-25.95173,55.18789,120.23973,39.10011,121.12,83.45,37.67,0.8802700000000101,-1.430109999999999
30,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C:2]1([C:6]([C:5]([H:8])([H:13])[H:14])([H:15])[H:16])[C:3]([H:9])([H:10])[C:4]1([H:11])[H:12])[H:7],125.10362254133699,19.6374223882594,-65.05184,-40.5956,66.16071,131.21255,24.45624,131.01,109.16,21.86,-0.20255000000000223,-2.5962400000000017
31,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:8][H:15].[O:1]([C:2]1=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10])[H:7],122.870296626905,24.6651066058608,-65.05184,-70.41275999999998,40.90449,105.95633,-5.360919999999993,130.12,98.33,31.79,24.16367000000001,37.15091999999999
32,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]=[C:2]([C:6]([C:5]([C:4]([C:3]([H:7])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:8],77.85658353741721,2.4451090672736604,-65.05184,-55.21978000000001,9.42315,74.47498999999998,9.832059999999991,82.5,77.55,4.95,8.025010000000023,-4.882059999999991
34,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:11][H:13].[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:12])=[C:5]([H:14])[C:6]1([H:15])[H:16])[H:7],119.092346983009,29.0183039190449,-65.05184,-73.4948,46.86828,111.92012,-8.442960000000001,126.0,90.01,35.99,14.079880000000003,44.43296
35,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C:6]([C:5]([C:4]([C:3]([C:2][H:8])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:7],118.335286507004,95.0852319589768,-65.05184,3.90571,30.58722,95.63906,68.95755,121.32,24.91,96.41,25.680939999999993,27.45245
36,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C@:2]1([H:8])[C:3]([H:9])([H:10])[C@@:4]1([C:5]([C:6]([H:12])([H:15])[H:16])([H:13])[H:14])[H:11])[H:7],125.289045056602,22.288912207005,-65.05184,-39.35193,61.80996,126.8618,25.699910000000006,130.85,107.08,23.77,3.988199999999992,-1.9299100000000067
38,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C:4]([C:5]([C:6]([C:2](=[C:3]([H:9])[H:10])[H:8])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])[H:7],110.125787232691,18.4444521486932,-65.05184,-42.6025,28.90537,93.95721,22.44934,113.62,93.32,20.31,19.66279,-2.1393400000000007
40,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N+:4](=[C-:5][O:6][H:12])[H:11])[H:10])([H:7])([H:8])[H:9],72.7856216808652,37.398533339268,-24.96068,-6.71772,35.95962,60.9203,18.24296,76.54,39.23,37.3,15.619700000000009,19.057039999999997
41,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N+:2](=[C-:3][N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],70.6485663882058,24.068498003754893,-24.96068,-18.84993,35.36526,60.32594,6.11075,74.07,50.54,23.53,13.74405999999999,17.41925
42,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](\[O:6]/[C:5](=[N:4]/[H:11])[H:12])[H:10])([H:7])([H:8])[H:9],53.9428521642703,21.2630615761211,-24.96068,-8.23237,19.38855,44.34923,16.72831,55.69,34.35,21.34,11.34077,4.611689999999999
43,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C-:5]#[O+:6].[C:1]([N:2](/[C:3](=[N:4]/[H:11])[H:10])[H:12])([H:7])([H:8])[H:9],44.1534121028466,11.125892072155,-24.96068,-5.89265,12.33118,37.29186,19.06803,47.95,34.61,13.34,10.658140000000003,-5.72803
44,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9].[N:2]#[C:3][H:10],105.913379791241,7.39729925609949,-24.96068,-21.59966,63.64096,88.60164,3.36102,108.96,99.11,9.85,20.35835999999999,6.48898
45,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N:2]1[C@:3]2([H:10])[N:4]([H:11])[C@:5]2([H:12])[O:6]1)([H:7])([H:8])[H:9],122.813025377603,88.9905313208008,-24.96068,62.74405,76.89945999999998,101.86014,87.70473,125.21,36.87,88.34,23.349859999999993,0.6352700000000056
46,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C-:1]([N+:2](=[C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])[H:7])([H:8])[H:9],78.94281051011991,43.5973395332014,-24.96068,-7.68688,42.98465,67.94533,17.2738,82.57,38.67,43.9,14.624669999999995,26.626199999999997
47,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](=[N:2][C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])[H:10])([H:8])[H:9],81.87062186814059,12.239662131038699,-24.96068,-15.74305,67.41422,92.3749,9.21763,85.21,73.16,12.05,-7.164900000000003,2.832370000000001
48,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N:2](/[C:3](=[N:4]/[C:5](=[O:6])[H:12])[H:10])[H:11])([H:7])([H:8])[H:9],44.1522858723921,4.24560207306947,-24.96068,-23.44032,23.16682,48.1275,1.5203600000000002,47.63,43.37,4.25,-0.49749999999999517,2.72964
49,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N:4]=[C:5](/[O:6][H:11])[H:12])[H:10])([H:7])([H:8])[H:9],46.676527028475796,16.257299877365302,-24.96068,-16.51739,20.85684,45.81752,8.443290000000001,49.88,33.4,16.49,4.062480000000001,8.046709999999997
50,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](=[N:2][C@:3]1([H:10])[N:4]([H:11])[C@@:5]1([O:6][H:7])[H:12])([H:8])[H:9],88.8578965510492,41.457635574353105,-24.96068,11.82834,62.33531,87.29599,36.78902,91.97,51.11,40.86,4.674009999999996,4.070979999999999
51,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C:3]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],79.4160915206311,25.6156323423203,-19.38167,-6.900410000000001,68.38851,87.77018000000001,12.48126,82.12,55.66,26.46,-5.650180000000006,13.97874
52,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][H:12])([H:7])([H:8])[H:9].[C:3](=[C:4]([C:5]#[N:6])[H:13])([H:10])[H:11],59.1123192118972,12.532727681112,-19.38167,-9.97374,19.18542,38.56709,9.40793,62.84,48.14,14.7,24.272910000000003,5.292069999999999
53,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C:3]([C:4]([N+:6]#[C-:5])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],60.4582010696054,21.4327348126659,-19.38167,-0.26796,72.6636,92.04527,19.11371,62.38,40.73,21.65,-29.66527,2.5362899999999975
54,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:7])([H:8])[H:9].[O:2]=[C:3]([H:10])[H:11],95.2842518920105,31.636873937693892,-19.38167,4.90891,71.02633,90.40799999999999,24.29058,98.84,62.98,35.86,8.432000000000016,11.569420000000001
57,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1](=[O+:2][C:3](=[C:4]([O-:5])[H:11])[H:10])([H:6])[H:8].[H:7][H:9],77.9371890161137,72.10649773374459,-73.53598000000002,-44.11089000000001,-15.75809,57.777890000000006,29.425090000000004,83.31,4.43,78.88,25.532109999999996,49.45490999999999
58,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C:3]([O+:5]=[C-:4][H:11])([H:9])[H:10])([H:6])([H:7])[H:8],103.03041316743999,58.9616275014554,-73.53598000000002,-19.93069,17.31316,90.84914,53.60529000000001,105.76,46.63,59.13,14.91086,5.524709999999992
59,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][O:5][C:4](=[C:3]([H:9])[H:10])[H:11])([H:6])([H:7])[H:8],101.838600908967,60.797865118676995,-73.53598000000002,-9.80617,21.37926,94.91524,63.72981000000001,104.89,43.63,61.27,9.974760000000003,-2.4598100000000045
60,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1](=[O:2])([H:6])[H:8].[C:3](=[C:4]([O:5][H:7])[H:11])([H:9])[H:10],59.9857439926836,8.645341432394767,-73.53598000000002,-66.20943,-16.17425,57.36173000000001,7.326550000000013,63.69,53.06,10.64,6.328269999999989,3.313449999999987
62,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([N+:6]#[C-:5])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],60.0947041717521,20.9880066708345,2.77032,22.63654,93.82039,91.05006999999999,19.866220000000002,62.13,40.87,21.26,-28.92006999999999,1.3937799999999996
63,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1](=[C:2]([C:3]([H:11])([H:12])[H:13])[H:10])([H:7])[H:8].[C:4]1([H:14])([H:15])[C:5]([H:9])=[N:6]1,109.512488052626,65.11867912823611,2.77032,75.26812,126.21502,123.4447,72.4978,114.26,45.78,68.48,-9.184699999999992,-4.017799999999994
65,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([N:6]=[C:5]=[C:4]([H:14])[H:15])([H:11])[H:13])([H:10])[H:12])([H:7])([H:8])[H:9],100.467458697846,29.3265367947367,2.77032,21.27032,117.56446,114.79414,18.5,105.13,74.91,30.23,-9.664140000000003,11.73
67,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1]([C:2](=[C:3]([H:11])[H:12])[H:10])([H:7])([H:8])[H:9].[C:4](=[C:5]=[N:6][H:13])([H:14])[H:15],68.7763814410699,43.446830127822196,2.77032,37.48027,76.25752,73.4872,34.709950000000006,74.31,26.77,47.54,0.8228000000000009,12.830049999999993
70,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])=[C:4]([C:5]#[N:6])[H:14])([H:7])([H:8])[H:9].[H:10][H:15],98.937693670262,25.4889931110676,2.77032,-10.49945,78.19,75.41968,-13.269770000000001,104.95,71.87,33.08,29.530320000000003,46.34977
71,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([C:2]([C:3]([O+:5]=[C-:4][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],115.213265174019,65.49269359010451,-50.24305,7.51365,51.32693,101.56998,57.7567,117.96,52.29,65.68,16.390019999999993,7.923300000000005
72,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([C:2](=[C:3]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[C:4](=[O:5])([H:9])[H:13],75.2743898711455,28.7511285232565,-50.24305,-23.49044,31.469620000000006,81.71266999999999,26.75261,77.93,46.23,31.7,-3.7826699999999818,4.947389999999999
73,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1](=[C:2]([H:9])[H:10])([H:6])[H:8].[C:3](=[C:4]([O:5][H:7])[H:13])([H:11])[H:12],61.3602069693275,32.902712468474,-50.24305,-22.42516,7.44222,57.68527,27.817889999999995,65.01,30.01,35.0,7.324730000000002,7.182110000000005
75,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C-:4]#[O+:5].[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([H:9])[H:10])([H:6])([H:7])[H:8],86.6814239964225,0.06830095172987999,-50.24305,-42.24796,19.2979,69.54095,7.995089999999998,90.19,87.93,2.26,20.649050000000003,-5.735089999999998
76,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([C:2]([O:5][C:4](=[C:3]([H:11])[H:12])[H:13])([H:9])[H:10])([H:6])([H:7])[H:8],94.2746932773887,18.9504890995124,-50.24305,-36.25131,31.2378,81.48085,13.99174,97.1,78.89,18.2,15.61914999999999,4.208259999999999
77,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([C:2](/[C:3](=[C:4](\[O:5][H:11])[H:13])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],71.6041338115308,11.2589463989641,-50.24305,-46.02244,13.07298,63.316030000000005,4.2206099999999935,74.76,64.25,10.51,11.44397,6.289390000000006
78,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C@:4]1([O:5][H:9])[H:13])([H:6])([H:7])[H:8],92.5933775749052,19.3418977163142,-50.24305,-34.3992,19.48493,69.72798,15.843849999999994,95.57,77.2,18.37,25.84201999999999,2.5261500000000066
79,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C:2]1=[N:6][C:5]([H:11])=[N:4][C:3]1([H:9])[H:10])([H:7])[H:8],44.090264271961296,4.49524940646487,35.23399000000001,45.05395,92.62042,57.38642999999999,9.819959999999996,47.21,42.0,5.21,-10.17642999999999,-4.6099599999999965
80,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C:2]1=[N:6][C@:3]1(/[C:5](=[N:4]/[H:10])[H:11])[H:9])([H:7])[H:8],105.798530205179,44.7988632715456,35.23399000000001,96.93453,163.25502,128.02103,61.70054,109.76,62.97,46.79,-18.26102999999999,-14.910539999999997
81,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1](=[C:2]1/[C:3]([H:8])([H:9])[N:4]([H:10])[C:5]([H:11])=[N:6]1)\[H:7],74.7234588333743,9.66687209739438,35.23399000000001,44.61855,116.33706,81.10307,9.384559999999992,78.81,68.87,9.93,-2.29307,0.5454400000000081
84,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C:2]1=[C:3]([H:9])[N:4]([H:10])[C:5][N:6]1[H:11])([H:7])[H:8],68.8172903032228,28.5197986353048,35.23399000000001,49.41683,105.82085,70.58685999999999,14.182839999999993,72.37,44.09,28.28,1.7831400000000173,14.097160000000008
85,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N+:1]([c:2]1[c-:3][n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])([H:8])[H:9],75.8569544829494,63.01235620424271,35.23399000000001,88.70498,119.51598,84.28199000000001,53.47099,78.46,16.54,61.93,-5.821990000000014,8.45901
87,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C:2]1=[N:6][C:5]([H:10])([H:11])[N:4]=[C:3]1[H:9])([H:7])[H:8],42.65758629282,9.075919355415321,35.23399000000001,50.72275,94.83341,59.59942,15.488759999999992,45.62,36.13,9.49,-13.979420000000005,-5.998759999999992
88,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N-:1]([c:2]1[c:3]([H:9])[n+:4]([H:10])[c:5]([H:11])[n:6]1[H:7])[H:8],60.3660564691746,31.203434590556608,35.23399000000001,54.91747,95.61802,60.38403,19.68347999999999,64.45,32.71,31.74,4.06597,12.05652000000001
90,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C@:2]1([H:9])[C-:3]=[N+:4]([H:10])[C:5]([H:11])=[N:6]1)([H:7])[H:8],61.762207884105386,55.9062472199975,35.23399000000001,80.09093,111.1715,75.93750999999997,44.85694,64.16,7.57,56.59,-11.777509999999978,11.733060000000002
91,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C:2](/[C:3](=[N:4]/[H:10])[H:9])=[N+:6]=[C-:5][H:11])([H:7])[H:8],70.2788383245459,67.7253818120466,35.23399000000001,76.78085,86.90964,51.67564999999999,41.54686,73.73,2.7,71.04,22.054350000000014,29.493140000000004
93,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23,[C:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[C:4]([H:11])([H:12])[C:5]([H:8])([H:13])[N:6]12)[H:7],90.1313570905585,72.1039270694933,97.77866,152.03718999999995,187.21036,89.4317,54.25852999999998,94.14,19.4,74.74,4.708299999999994,20.481470000000016
